[I 2025-04-30 13:08:40,843] A new study created in memory with name: no-name-7fde4f54-d88f-4a98-b727-4c149e450f80
[I 2025-04-30 13:08:59,284] Trial 0 finished with value: 0.8684090909090909 and parameters: {'n_estimators': 912, 'max_depth': 5, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 0 with value: 0.8684090909090909.
[I 2025-04-30 13:10:30,512] Trial 1 finished with value: 0.8482954545454546 and parameters: {'n_estimators': 951, 'max_depth': 43, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': None, 'bootstrap': False}. Best is trial 0 with value: 0.8684090909090909.
[I 2025-04-30 13:10:44,602] Trial 2 finished with value: 0.8846590909090908 and parameters: {'n_estimators': 724, 'max_depth': 21, 'min_samples_split': 7, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 2 with value: 0.8846590909090908.
[I 2025-04-30 13:10:57,507] Trial 3 finished with value: 0.8911363636363635 and parameters: {'n_estimators': 551, 'max_depth': 48, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:11:10,101] Trial 4 finished with value: 0.8862500000000001 and parameters: {'n_estimators': 641, 'max_depth': 35, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:11:22,541] Trial 5 finished with value: 0.8494318181818181 and parameters: {'n_estimators': 132, 'max_depth': 29, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:11:41,632] Trial 6 finished with value: 0.8871590909090908 and parameters: {'n_estimators': 299, 'max_depth': 14, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:11:52,170] Trial 7 finished with value: 0.8872727272727271 and parameters: {'n_estimators': 531, 'max_depth': 18, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:12:08,155] Trial 8 finished with value: 0.8906818181818181 and parameters: {'n_estimators': 725, 'max_depth': 42, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:12:28,182] Trial 9 finished with value: 0.8551136363636364 and parameters: {'n_estimators': 214, 'max_depth': 17, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': None, 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:12:42,314] Trial 10 finished with value: 0.886590909090909 and parameters: {'n_estimators': 441, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
